species,bill_length_mm,bill_depth_mm,flipper_length_mm,gender,body_mass_g
Adelie,0.391,0.187,0.181,0,0.375
Adelie,0.395,0.174,0.186,1,0.38
Adelie,0.40299999999999997,0.18,0.195,1,0.325
Adelie,0.396,0.177,0.186,1,0.35
Adelie,0.36700000000000005,0.193,0.193,1,0.345
Adelie,0.39299999999999996,0.20600000000000002,0.19,0,0.365
Adelie,0.389,0.17800000000000002,0.181,1,0.3625
Adelie,0.392,0.196,0.195,0,0.4675
Adelie,0.41100000000000003,0.17600000000000002,0.182,1,0.32
Adelie,0.386,0.212,0.191,0,0.38
Adelie,0.34600000000000003,0.21100000000000002,0.198,0,0.44
Adelie,0.366,0.17800000000000002,0.185,1,0.37
Adelie,0.387,0.19,0.195,1,0.345
Adelie,0.425,0.207,0.197,0,0.45
Adelie,0.344,0.184,0.184,1,0.3325
Adelie,0.46,0.215,0.194,0,0.42
Adelie,0.37799999999999995,0.183,0.174,1,0.34
Adelie,0.377,0.187,0.18,0,0.36
Adelie,0.359,0.192,0.189,1,0.38
Adelie,0.382,0.18100000000000002,0.185,0,0.395
Adelie,0.38799999999999996,0.172,0.18,0,0.38
Adelie,0.353,0.18899999999999997,0.187,1,0.38
Adelie,0.406,0.18600000000000003,0.183,0,0.355
Adelie,0.405,0.179,0.187,1,0.32
Adelie,0.379,0.18600000000000003,0.172,1,0.315
Adelie,0.405,0.18899999999999997,0.18,0,0.395
Adelie,0.395,0.16699999999999998,0.178,1,0.325
Adelie,0.37200000000000005,0.18100000000000002,0.178,0,0.39
Adelie,0.395,0.17800000000000002,0.188,1,0.33
Adelie,0.409,0.18899999999999997,0.184,0,0.39
Adelie,0.364,0.17,0.195,1,0.3325
Adelie,0.392,0.21100000000000002,0.196,0,0.415
Adelie,0.38799999999999996,0.2,0.19,0,0.395
Adelie,0.42200000000000004,0.185,0.18,1,0.355
Adelie,0.376,0.193,0.181,1,0.33
Adelie,0.39799999999999996,0.191,0.184,0,0.465
Adelie,0.365,0.18,0.182,1,0.315
Adelie,0.408,0.184,0.195,0,0.39
Adelie,0.36,0.185,0.186,1,0.31
Adelie,0.441,0.19699999999999998,0.196,0,0.44
Adelie,0.37,0.16899999999999998,0.185,1,0.3
Adelie,0.396,0.188,0.19,0,0.46
Adelie,0.41100000000000003,0.19,0.182,0,0.3425
Adelie,0.36,0.179,0.19,1,0.345
Adelie,0.423,0.212,0.191,0,0.415
Gentoo,0.461,0.132,0.211,1,0.45
Gentoo,0.5,0.163,0.23,0,0.57
Gentoo,0.48700000000000004,0.141,0.21,1,0.445
Gentoo,0.5,0.152,0.218,0,0.57
Gentoo,0.47600000000000003,0.145,0.215,0,0.54
Gentoo,0.465,0.135,0.21,1,0.455
Gentoo,0.45399999999999996,0.146,0.211,1,0.48
Gentoo,0.467,0.153,0.219,0,0.52
Gentoo,0.433,0.134,0.209,1,0.44
Gentoo,0.46799999999999997,0.154,0.215,0,0.515
Gentoo,0.409,0.13699999999999998,0.214,1,0.465
Gentoo,0.49,0.161,0.216,0,0.555
Gentoo,0.455,0.13699999999999998,0.214,1,0.465
Gentoo,0.484,0.146,0.213,0,0.585
Gentoo,0.45799999999999996,0.146,0.21,1,0.42
Gentoo,0.493,0.157,0.217,0,0.585
Gentoo,0.42,0.135,0.21,1,0.415
Gentoo,0.49200000000000005,0.152,0.221,0,0.63
Gentoo,0.462,0.145,0.209,1,0.48
Gentoo,0.48700000000000004,0.151,0.222,0,0.535
Gentoo,0.502,0.14300000000000002,0.218,0,0.57
Gentoo,0.451,0.145,0.215,1,0.5
Gentoo,0.465,0.145,0.213,1,0.44
