species,bill_length_mm,bill_depth_mm,flipper_length_mm,gender,body_mass_g
Adelie,0.391,0.187,0.181,0,3.75
Adelie,0.395,0.174,0.186,1,3.8
Adelie,0.40299999999999997,0.18,0.195,1,3.25
Adelie,0.396,0.177,0.186,1,3.5
Adelie,0.36700000000000005,0.193,0.193,1,3.45
Adelie,0.39299999999999996,0.20600000000000002,0.19,0,3.65
Adelie,0.389,0.17800000000000002,0.181,1,3.625
Adelie,0.392,0.196,0.195,0,4.675
Adelie,0.41100000000000003,0.17600000000000002,0.182,1,3.2
Adelie,0.386,0.212,0.191,0,3.8
Adelie,0.34600000000000003,0.21100000000000002,0.198,0,4.4
Adelie,0.366,0.17800000000000002,0.185,1,3.7
Adelie,0.387,0.19,0.195,1,3.45
Adelie,0.425,0.207,0.197,0,4.5
Adelie,0.344,0.184,0.184,1,3.325
Adelie,0.46,0.215,0.194,0,4.2
Adelie,0.37799999999999995,0.183,0.174,1,3.4
Adelie,0.377,0.187,0.18,0,3.6
Adelie,0.359,0.192,0.189,1,3.8
Adelie,0.382,0.18100000000000002,0.185,0,3.95
Adelie,0.38799999999999996,0.172,0.18,0,3.8
Adelie,0.353,0.18899999999999997,0.187,1,3.8
Adelie,0.406,0.18600000000000003,0.183,0,3.55
Adelie,0.405,0.179,0.187,1,3.2
Adelie,0.379,0.18600000000000003,0.172,1,3.15
Adelie,0.405,0.18899999999999997,0.18,0,3.95
Adelie,0.395,0.16699999999999998,0.178,1,3.25
Adelie,0.37200000000000005,0.18100000000000002,0.178,0,3.9
Adelie,0.395,0.17800000000000002,0.188,1,3.3
Adelie,0.409,0.18899999999999997,0.184,0,3.9
Adelie,0.364,0.17,0.195,1,3.325
Adelie,0.392,0.21100000000000002,0.196,0,4.15
Adelie,0.38799999999999996,0.2,0.19,0,3.95
Adelie,0.42200000000000004,0.185,0.18,1,3.55
Adelie,0.376,0.193,0.181,1,3.3
Adelie,0.39799999999999996,0.191,0.184,0,4.65
Adelie,0.365,0.18,0.182,1,3.15
Adelie,0.408,0.184,0.195,0,3.9
Adelie,0.36,0.185,0.186,1,3.1
Adelie,0.441,0.19699999999999998,0.196,0,4.4
Adelie,0.37,0.16899999999999998,0.185,1,3.0
Adelie,0.396,0.188,0.19,0,4.6
Adelie,0.41100000000000003,0.19,0.182,0,3.425
Adelie,0.36,0.179,0.19,1,3.45
Adelie,0.423,0.212,0.191,0,4.15
Gentoo,0.461,0.132,0.211,1,4.5
Gentoo,0.5,0.163,0.23,0,5.7
Gentoo,0.48700000000000004,0.141,0.21,1,4.45
Gentoo,0.5,0.152,0.218,0,5.7
Gentoo,0.47600000000000003,0.145,0.215,0,5.4
Gentoo,0.465,0.135,0.21,1,4.55
Gentoo,0.45399999999999996,0.146,0.211,1,4.8
Gentoo,0.467,0.153,0.219,0,5.2
Gentoo,0.433,0.134,0.209,1,4.4
Gentoo,0.46799999999999997,0.154,0.215,0,5.15
Gentoo,0.409,0.13699999999999998,0.214,1,4.65
Gentoo,0.49,0.161,0.216,0,5.55
Gentoo,0.455,0.13699999999999998,0.214,1,4.65
Gentoo,0.484,0.146,0.213,0,5.85
Gentoo,0.45799999999999996,0.146,0.21,1,4.2
Gentoo,0.493,0.157,0.217,0,5.85
Gentoo,0.42,0.135,0.21,1,4.15
Gentoo,0.49200000000000005,0.152,0.221,0,6.3
Gentoo,0.462,0.145,0.209,1,4.8
Gentoo,0.48700000000000004,0.151,0.222,0,5.35
Gentoo,0.502,0.14300000000000002,0.218,0,5.7
Gentoo,0.451,0.145,0.215,1,5.0
Gentoo,0.465,0.145,0.213,1,4.4
Gentoo,0.46299999999999997,0.158,0.215,0,5.05
Gentoo,0.429,0.131,0.215,1,5.0
Gentoo,0.461,0.151,0.215,0,5.1
Gentoo,0.478,0.15,0.215,0,5.65
Gentoo,0.48200000000000004,0.14300000000000002,0.21,1,4.6
Gentoo,0.5,0.153,0.22,0,5.55
Gentoo,0.473,0.153,0.222,0,5.25
Gentoo,0.428,0.142,0.209,1,4.7
Gentoo,0.451,0.145,0.207,1,5.05
Gentoo,0.596,0.17,0.23,0,6.05
Gentoo,0.491,0.14800000000000002,0.22,1,5.15
Gentoo,0.484,0.163,0.22,0,5.4
Gentoo,0.426,0.13699999999999998,0.213,1,4.95
Gentoo,0.444,0.17300000000000001,0.219,0,5.25
Gentoo,0.44,0.136,0.208,1,4.35
Gentoo,0.48700000000000004,0.157,0.208,0,5.35
Gentoo,0.42700000000000005,0.13699999999999998,0.208,1,3.95
Gentoo,0.496,0.16,0.225,0,5.7
Gentoo,0.45299999999999996,0.13699999999999998,0.21,1,4.3
Gentoo,0.496,0.15,0.216,0,4.75
Gentoo,0.505,0.159,0.222,0,5.55
Gentoo,0.436,0.139,0.217,1,4.9
Gentoo,0.455,0.139,0.21,1,4.2
Gentoo,0.505,0.159,0.225,0,5.4
Gentoo,0.449,0.133,0.213,1,5.1
Gentoo,0.452,0.158,0.215,0,5.3
Adelie,0.341,0.18100000000000002,0.193,1,3.475
Adelie,0.42,0.20199999999999999,0.19,0,4.25
Adelie,0.37799999999999995,0.171,0.186,1,3.3
Adelie,0.37799999999999995,0.17300000000000001,0.18,1,3.7
Adelie,0.375,0.18899999999999997,0.179,1,2.975
Gentoo,0.445,0.14300000000000002,0.216,1,4.1
Chinstrap,0.465,0.179,0.192,1,3.5
Chinstrap,0.5,0.195,0.196,0,3.9
Chinstrap,0.513,0.192,0.193,0,3.65
Chinstrap,0.45399999999999996,0.187,0.188,1,3.525
Chinstrap,0.527,0.198,0.197,0,3.725
Chinstrap,0.452,0.17800000000000002,0.198,1,3.95
Chinstrap,0.461,0.182,0.178,1,3.25
Chinstrap,0.513,0.182,0.197,0,3.75
Chinstrap,0.46,0.18899999999999997,0.195,1,4.15
Chinstrap,0.513,0.19899999999999998,0.198,0,3.7
Chinstrap,0.466,0.17800000000000002,0.193,1,3.8
Chinstrap,0.517,0.203,0.194,0,3.775
Chinstrap,0.47,0.17300000000000001,0.185,1,3.7
Chinstrap,0.52,0.18100000000000002,0.201,0,4.05
Chinstrap,0.45899999999999996,0.171,0.19,1,3.575
Chinstrap,0.505,0.196,0.201,0,4.05
Chinstrap,0.503,0.2,0.197,0,3.3
Chinstrap,0.58,0.17800000000000002,0.181,1,3.7
Chinstrap,0.46399999999999997,0.18600000000000003,0.19,1,3.45
Chinstrap,0.49200000000000005,0.182,0.195,0,4.4
Chinstrap,0.424,0.17300000000000001,0.181,1,3.6
Chinstrap,0.485,0.175,0.191,0,3.4
Chinstrap,0.43200000000000005,0.166,0.187,1,2.9
Chinstrap,0.506,0.19399999999999998,0.193,0,3.8
Chinstrap,0.467,0.179,0.195,1,3.3
Chinstrap,0.52,0.19,0.197,0,4.15
Chinstrap,0.505,0.184,0.2,1,3.4
Chinstrap,0.495,0.19,0.2,0,3.8
Chinstrap,0.46399999999999997,0.17800000000000002,0.191,1,3.7
Chinstrap,0.528,0.2,0.205,0,4.55
Chinstrap,0.409,0.166,0.187,1,3.2
Chinstrap,0.542,0.20800000000000002,0.201,0,4.3
Chinstrap,0.425,0.16699999999999998,0.187,1,3.35
Chinstrap,0.51,0.188,0.203,0,4.1
Chinstrap,0.49700000000000005,0.18600000000000003,0.195,0,3.6
Chinstrap,0.475,0.168,0.199,1,3.9
Chinstrap,0.47600000000000003,0.183,0.195,1,3.85
Chinstrap,0.52,0.207,0.21,0,4.8
Chinstrap,0.469,0.166,0.192,1,2.7
Chinstrap,0.535,0.19899999999999998,0.205,0,4.5
Chinstrap,0.49,0.195,0.21,0,3.95
Chinstrap,0.462,0.175,0.187,1,3.65
Chinstrap,0.509,0.191,0.196,0,3.55
Chinstrap,0.455,0.17,0.196,1,3.5
Chinstrap,0.509,0.179,0.196,1,3.675
Chinstrap,0.508,0.185,0.201,0,4.45
Chinstrap,0.501,0.179,0.19,1,3.4
Chinstrap,0.49,0.196,0.212,0,4.3
Chinstrap,0.515,0.187,0.187,0,3.25
Chinstrap,0.498,0.17300000000000001,0.198,1,3.675
