species,bill_length_mm,bill_depth_mm,flipper_length_mm,gender,body_mass_g
Adelie,3.91,1.8699999999999999,18.1,0,3.75
Adelie,3.95,1.7399999999999998,18.6,1,3.8
Adelie,4.029999999999999,1.8,19.5,1,3.25
Adelie,3.96,1.77,18.6,1,3.5
Adelie,3.6700000000000004,1.9300000000000002,19.3,1,3.45
Adelie,3.9299999999999997,2.06,19.0,0,3.65
Adelie,3.8899999999999997,1.78,18.1,1,3.625
Adelie,3.9200000000000004,1.9600000000000002,19.5,0,4.675
Adelie,4.11,1.7600000000000002,18.2,1,3.2
Adelie,3.8600000000000003,2.12,19.1,0,3.8
Adelie,3.46,2.1100000000000003,19.8,0,4.4
Adelie,3.66,1.78,18.5,1,3.7
Adelie,3.87,1.9,19.5,1,3.45
Adelie,4.25,2.07,19.7,0,4.5
Adelie,3.44,1.8399999999999999,18.4,1,3.325
Adelie,4.6,2.15,19.4,0,4.2
Adelie,3.78,1.83,17.4,1,3.4
Adelie,3.7700000000000005,1.8699999999999999,18.0,0,3.6
Adelie,3.59,1.92,18.9,1,3.8
Adelie,3.8200000000000003,1.81,18.5,0,3.95
Adelie,3.88,1.72,18.0,0,3.8
Adelie,3.53,1.89,18.7,1,3.8
Adelie,4.0600000000000005,1.86,18.3,0,3.55
Adelie,4.05,1.7899999999999998,18.7,1,3.2
Adelie,3.79,1.86,17.2,1,3.15
Adelie,4.05,1.89,18.0,0,3.95
Adelie,3.95,1.67,17.8,1,3.25
Adelie,3.72,1.81,17.8,0,3.9
Adelie,3.95,1.78,18.8,1,3.3
Adelie,4.09,1.89,18.4,0,3.9
Adelie,3.6399999999999997,1.7,19.5,1,3.325
Adelie,3.9200000000000004,2.1100000000000003,19.6,0,4.15
Adelie,3.88,2.0,19.0,0,3.95
Adelie,4.220000000000001,1.85,18.0,1,3.55
Adelie,3.7600000000000002,1.9300000000000002,18.1,1,3.3
Adelie,3.9799999999999995,1.9100000000000001,18.4,0,4.65
Adelie,3.65,1.8,18.2,1,3.15
Adelie,4.08,1.8399999999999999,19.5,0,3.9
Adelie,3.6,1.85,18.6,1,3.1
Adelie,4.41,1.97,19.6,0,4.4
Adelie,3.7,1.69,18.5,1,3.0
Adelie,3.96,1.8800000000000001,19.0,0,4.6
Adelie,4.11,1.9,18.2,0,3.425
Adelie,3.6,1.7899999999999998,19.0,1,3.45
Adelie,4.2299999999999995,2.12,19.1,0,4.15
Gentoo,4.61,1.3199999999999998,21.1,1,4.5
Gentoo,5.0,1.6300000000000001,23.0,0,5.7
Gentoo,4.87,1.41,21.0,1,4.45
Gentoo,5.0,1.52,21.8,0,5.7
Gentoo,4.76,1.45,21.5,0,5.4
Gentoo,4.65,1.35,21.0,1,4.55
Gentoo,4.54,1.46,21.1,1,4.8
Gentoo,4.67,1.53,21.9,0,5.2
Gentoo,4.33,1.34,20.9,1,4.4
Gentoo,4.68,1.54,21.5,0,5.15
Gentoo,4.09,1.3699999999999999,21.4,1,4.65
Gentoo,4.9,1.61,21.6,0,5.55
Gentoo,4.55,1.3699999999999999,21.4,1,4.65
Gentoo,4.84,1.46,21.3,0,5.85
Gentoo,4.58,1.46,21.0,1,4.2
Gentoo,4.93,1.5699999999999998,21.7,0,5.85
Gentoo,4.2,1.35,21.0,1,4.15
Gentoo,4.92,1.52,22.1,0,6.3
Gentoo,4.62,1.45,20.9,1,4.8
Gentoo,4.87,1.51,22.2,0,5.35
Gentoo,5.0200000000000005,1.4300000000000002,21.8,0,5.7
Gentoo,4.51,1.45,21.5,1,5.0
Gentoo,4.65,1.45,21.3,1,4.4
Gentoo,4.63,1.58,21.5,0,5.05
Gentoo,4.29,1.31,21.5,1,5.0
Gentoo,4.61,1.51,21.5,0,5.1
Gentoo,4.779999999999999,1.5,21.5,0,5.65
Gentoo,4.82,1.4300000000000002,21.0,1,4.6
Gentoo,5.0,1.53,22.0,0,5.55
Gentoo,4.7299999999999995,1.53,22.2,0,5.25
Gentoo,4.279999999999999,1.42,20.9,1,4.7
Gentoo,4.51,1.45,20.7,1,5.05
Gentoo,5.96,1.7,23.0,0,6.05
Gentoo,4.91,1.48,22.0,1,5.15
Gentoo,4.84,1.6300000000000001,22.0,0,5.4
Gentoo,4.26,1.3699999999999999,21.3,1,4.95
Gentoo,4.4399999999999995,1.73,21.9,0,5.25
Gentoo,4.4,1.3599999999999999,20.8,1,4.35
Gentoo,4.87,1.5699999999999998,20.8,0,5.35
Gentoo,4.2700000000000005,1.3699999999999999,20.8,1,3.95
Gentoo,4.96,1.6,22.5,0,5.7
